Population,Latitude,Longitude,Year_start,Year_end,Temperature,Sex,Replicate_vial,Thorax_length
Innisfail,-17.52,146.02,2008,2008,18,female,1,1.05
Innisfail,-17.52,146.02,2008,2008,18,female,1,1.07
Innisfail,-17.52,146.02,2008,2008,18,female,1,1.10
Innisfail,-17.52,146.02,2008,2008,18,female,1,1.07
Innisfail,-17.52,146.02,2008,2008,18,female,1,1.10
Innisfail,-17.52,146.02,2008,2008,18,female,1,1.10
Innisfail,-17.52,146.02,2008,2008,18,female,1,1.03
Innisfail,-17.52,146.02,2008,2008,18,female,1,1.03
Innisfail,-17.52,146.02,2008,2008,18,female,1,1.07
Innisfail,-17.52,146.02,2008,2008,18,female,1,1.07
Innisfail,-17.52,146.02,2008,2008,18,female,2,1.10
Innisfail,-17.52,146.02,2008,2008,18,female,2,1.10
Innisfail,-17.52,146.02,2008,2008,18,female,2,1.10
Innisfail,-17.52,146.02,2008,2008,18,female,2,1.03
Innisfail,-17.52,146.02,2008,2008,18,female,2,1.10
Innisfail,-17.52,146.02,2008,2008,18,female,2,1.10
Innisfail,-17.52,146.02,2008,2008,18,female,2,1.07
Innisfail,-17.52,146.02,2008,2008,18,female,2,1.07
Innisfail,-17.52,146.02,2008,2008,18,female,2,1.07
Innisfail,-17.52,146.02,2008,2008,18,female,2,1.03
Innisfail,-17.52,146.02,2008,2008,18,female,3,1.10
Innisfail,-17.52,146.02,2008,2008,18,female,3,1.08
Innisfail,-17.52,146.02,2008,2008,18,female,3,1.10
Innisfail,-17.52,146.02,2008,2008,18,female,3,1.10
Innisfail,-17.52,146.02,2008,2008,18,female,3,1.07
Innisfail,-17.52,146.02,2008,2008,18,female,3,1.07
Innisfail,-17.52,146.02,2008,2008,18,female,3,1.07
Innisfail,-17.52,146.02,2008,2008,18,female,3,1.07
Innisfail,-17.52,146.02,2008,2008,18,female,3,1.10
Innisfail,-17.52,146.02,2008,2008,18,female,3,1.08
Innisfail,-17.52,146.02,2008,2008,18,male,1,0.97
Innisfail,-17.52,146.02,2008,2008,18,male,1,1.00
