"Study_ID","Citation","Data Source Notes","SAR_TYPE","Island.Type","Study location","Biogeo_realm","Island_area","Species Richness"
1,"Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",,"Insular","Continental","The Thimble Islands","Nearctic",161,1
1,"Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",,"Insular","Continental","The Thimble Islands","Nearctic",1612,1
1,"Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",,"Insular","Continental","The Thimble Islands","Nearctic",968,2
1,"Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",,"Insular","Continental","The Thimble Islands","Nearctic",645,2
1,"Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",,"Insular","Continental","The Thimble Islands","Nearctic",484,2
1,"Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",,"Insular","Continental","The Thimble Islands","Nearctic",484,3
1,"Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",,"Insular","Continental","The Thimble Islands","Nearctic",4194,11
1,"Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",,"Insular","Continental","The Thimble Islands","Nearctic",3062,12
1,"Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",,"Insular","Continental","The Thimble Islands","Nearctic",43548,21
1,"Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",,"Insular","Continental","The Thimble Islands","Nearctic",61532,31
1,"Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",,"Insular","Continental","The Thimble Islands","Nearctic",1161,17
1,"Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",,"Insular","Continental","The Thimble Islands","Nearctic",654,19
1,"Goldstein, E. L. (1975). Island biogeography of ants. Evolution, 29(4), 750–762.",,"Insular","Continental","The Thimble Islands","Nearctic",208,9
