BirdSpecies,BirdID,Mh(g),Fp.tot,Wp.tot,Wtot*i*e^E/kT/(meanMp^.25),Np.tot,MeanMp,MeanMp^.25
Actitis macularius,72,48.2,0.0000111056,0.000440358,0.0000111056,32,0.0000137612,0.0609065608
Actitis macularius,74,52.58,0.0003378228,0.015939037,0.0003937162,771,0.0000206732,0.0621841762
Actitis macularius,78,47.08,0.0000952745,0.003286681,0.0001029605,488,6.7350031e-6,0.0490329684
Aechmophorus clarkii,47,1379,7.02759e-7,0.0000322983,7.0275974e-7,2,0.0000161491,0.0633923835
Aechmophorus clarkii,49,1061,5.915646e-7,0.0000196298,6.2753913e-7,5,3.925956e-6,0.0431458378
Aechmophorus occidentalis,284,869,0.0000597195,0.0027917201,0.0000707336,239,0.0000116808,0.0544390385
Aechmophorus occidentalis,286,1433,0.0000183919,0.0013764981,0.0000228811,17,0.0000809705,0.0829781449
Aechmophorus occidentalis,287,987,0.0000133231,0.0004746503,0.0000138441,88,5.3937528e-6,0.0472903617
Aechmophorus occidentalis,288,765,8.447361e-7,0.0000478938,1.0959414e-6,2,0.0000239469,0.0602776165
Anas clypeata,141,756,0.0002660226,0.0176767017,0.0003880194,317,0.0000557625,0.0721480472
Ardea alba,216,1406,0.0003507969,0.0418222662,0.0003926013,49,0.0008535158,0.1599107938
Ardea alba,218,940,4.011082e-6,0.0001845265,4.4234781e-6,10,0.0000184526,0.0626205343
Aythya affinis,265,573,0.0002247926,0.0106644415,0.0002730034,502,0.0000212439,0.0618652759
Aythya affinis,266,611,0.0001038706,0.0072729164,0.0001746553,125,0.0000581834,0.0659482933
Aythya americana,41,1062,0.0000184212,0.0005964434,0.000020111,102,5.8474885e-6,0.0469690188
Aythya marila,22,1094,0.0000529274,0.002444961,0.0000767723,198,0.0000123483,0.0504364425
Aythya marila,23,1017,0.0000953372,0.004662991,0.0001437145,321,0.0000145264,0.0513855238
Aythya marila,25,1108,0.0000610779,0.002861349,0.0000894737,223,0.0000128311,0.0506468436
Aythya marila,26,1219,0.000018157,0.000714761,0.0000232344,85,8.4089339e-6,0.0487199691
Aythya marila,43,1076,0.0000698146,0.002601784,0.0000852696,347,7.4979287e-6,0.04832302
Aythya marila,44,1098,0.0000796329,0.003067901,0.0001000647,382,8.0311457e-6,0.0485553568
Aythya marila,45,1202,0.000082829,0.004290026,0.0001290328,246,0.0000174391,0.0526546528
Aythya marila,56,1095,0.0000141417,0.0008836236,0.0000198654,17,0.0000519778,0.0704445833
Aythya marila,57,1096,0.0001453135,0.006177986,0.0002211081,778,7.9408467e-6,0.0442505823
Aythya valisineria,53,1193,0.0000510935,0.0020933447,0.0000652037,207,0.0000101128,0.0508446537
Branta bernicla,165,1253,0.0002759725,0.0197160295,0.0004685997,338,0.0000583314,0.0666337461
Branta canadensis,15,5248.73,0.0000551688,0.0023204114,0.0000745301,226,0.0000102673,0.0493071891
Branta canadensis,16,6325.2,0.0003916719,0.0229430435,0.0007623817,1237,0.0000185473,0.0476601446
Bucephala albeola,5,430.52,0.0000656091,0.0025415304,0.0000852086,342,7.4313691e-6,0.0472377209
Bucephala albeola,96,306.33,0.0001076483,0.007561873,0.000110303,52,0.0001454208,0.1085722219
Bucephala albeola,100,431.13,0.0000819682,0.0042653959,0.0001299928,231,0.000018465,0.05196569
Bucephala albeola,101,333.88,0.0000221741,0.001485846,0.0000245043,14,0.000106132,0.0960302462
Bucephala albeola,102,396.65,0.0000804495,0.0064923799,0.0001290545,55,0.0001180433,0.079672339
Bucephala albeola,202,365.71,1.740689e-6,0.0000573199,2.349356e-6,15,3.8213267e-6,0.0386396701
Bucephala albeola,203,287.6,0.0000363498,0.0017646356,0.0000469061,86,0.000020519,0.0595802482
Bucephala albeola,204,398.06,0.000019279,0.0015843964,0.0000223031,7,0.0002263422,0.1125059303
Bucephala albeola,206,359.14,0.0000146766,0.0011506542,0.0000181567,7,0.000164379,0.1003654268
Bucephala albeola,219,435.26,0.000016488,0.0013513115,0.0000342825,17,0.0000794889,0.062425106
Bucephala albeola,221,302.93,0.0000377085,0.00232608,0.000048246,39,0.000059643,0.076355523
