"parcela","plantula","cortadas","morta","adulta.viva"
"1",5,0,0,16
"2",23,1,0,16
"3",23,0,0,9
"4",17,0,2,14
"5",0,0,0,8
"6",4,0,0,7
"7",1,0,0,10
"8",0,0,0,4
"9",0,0,0,1
"10",1,0,0,1
"11",0,0,0,1
"12",2,0,0,11
"13",26,0,0,36
"14",65,0,4,29
"15",34,0,0,28
"16",14,0,1,3
"17",18,0,5,28
"18",13,0,0,7
"19",19,0,0,3
"20",7,0,2,19
"21",29,0,1,39
"22",7,0,2,45
"23",29,0,0,17
"24",40,0,0,60
"25",186,0,0,37
"26",56,0,0,52
"27",48,0,0,47
"28",184,0,0,25
"29",25,0,0,10
"30",14,0,3,6
"31",7,0,1,22
"32",14,0,0,11
"33",32,0,0,21
"34",2,0,1,16
"35",9,0,0,6
"36",10,0,2,17
"37",2,0,0,4
"38",0,0,0,10
"39",3,0,0,1
"40",1,0,NA,NA
"41",3,0,0,1
"42",2,0,0,6
"43",0,0,0,2
"44",1,0,0,5
"45",18,0,3,41
"46",60,0,0,27
"47",38,0,2,47
"48",49,0,3,30
"49",12,0,0,18
"50",9,0,0,64
"51",2,0,NA,NA
"52",8,0,0,13
"53",6,0,0,26
"54",2,0,2,20
"55",11,0,0,7
"56",5,0,2,26
"57",13,0,1,25
"58",9,0,0,10
"59",11,0,0,19
"60",42,0,0,16
"61",5,0,1,30
"62",12,0,0,25
"63",7,0,3,18
"64",18,0,1,21
"65",9,0,2,25
"66",19,0,1,20
"67",64,0,2,19
"68",4,0,2,26
"69",100,0,8,22
"70",30,0,3,22
"71",28,0,0,11
"72",8,0,0,22
"73",8,0,0,17
"74",3,0,1,2
"75",5,0,0,12
"76",12,0,0,36
"77",4,0,0,5
"78",6,0,0,25
"79",8,0,0,8
"80",7,0,1,13
"81",0,0,NA,NA
"82",0,0,0,1
"83",2,0,NA,NA
"84",0,0,NA,NA
"85",0,0,NA,NA
"86",0,0,NA,NA
"87",0,0,NA,NA
"88",0,0,NA,NA
"89",0,0,NA,NA
"90",0,0,NA,NA
"91",0,0,NA,NA
"92",0,0,NA,NA
"93",0,2,NA,NA
"94",0,0,NA,NA
"95",0,8,NA,NA
"96",0,0,NA,NA
"97",0,0,0,7
"98",0,0,0,2
"99",0,3,0,5
"100",1,0,1,3
"101",0,5,0,5
"102",0,0,0,3
"103",0,0,0,11
"104",0,0,1,12
"105",0,0,NA,NA
"106",0,3,1,6
"107",0,0,0,1
"108",0,2,0,1
"109",0,0,0,3
"110",0,0,0,10
"111",0,0,0,7
"112",0,0,0,2
"113",1,0,1,2
"114",0,0,0,7
"115",0,0,0,10
"116",0,0,NA,NA
"117",0,2,0,7
"118",0,1,1,11
"119",0,1,0,3
"120",0,0,NA,NA
"121",0,0,0,3
"122",0,0,2,4
"123",0,3,0,8
"124",0,0,0,3
"125",0,2,0,3
"126",0,1,0,1
"127",0,0,0,9
"128",0,0,0,5
"129",0,0,NA,NA
"130",0,0,0,3
"131",0,1,NA,NA
"132",0,0,NA,NA
"133",0,0,NA,NA
"134",0,0,NA,NA
"135",0,0,0,1
"136",0,0,0,2
"137",0,0,NA,NA
"138",0,2,0,1
"139",0,0,NA,NA
"140",0,1,NA,NA
"141",0,0,NA,NA
"142",0,0,NA,NA
"143",0,0,NA,NA
"144",0,0,NA,NA
"145",0,0,NA,NA
"146",0,0,NA,NA
"147",0,0,NA,NA
"148",0,0,NA,NA
"149",0,0,NA,NA
"150",0,0,NA,NA
"151",0,0,NA,NA
"152",0,0,NA,NA
"153",0,0,NA,NA
"154",0,0,NA,NA
"155",0,0,NA,NA
"156",0,0,NA,NA
"157",0,0,NA,NA
"158",0,0,NA,NA
"159",0,0,NA,NA
"160",0,0,0,1
"161",11,0,0,57
"162",1,0,0,38
"163",3,0,0,20
"164",5,0,0,30
"165",1,0,0,8
"166",8,0,0,5
"167",9,0,0,9
"168",11,0,0,9
"169",3,0,0,14
"170",7,0,0,6
"171",19,0,0,19
"172",15,0,0,18
"173",8,0,0,2
"174",9,0,0,4
"175",61,0,0,29
"176",27,0,0,9
"177",22,0,0,23
"178",15,0,0,8
"179",34,0,0,11
"180",157,0,0,17
"181",10,0,0,9
"182",14,0,0,16
"183",8,0,0,16
"184",3,0,0,11
"185",77,0,0,21
"186",51,0,0,24
"187",39,0,0,19
"188",62,0,0,33
"189",63,0,0,17
"190",24,0,0,8
"191",63,0,0,14
"192",37,0,0,24
"193",0,0,0,4
"194",0,0,0,15
"195",1,0,0,8
"196",2,0,0,19
"197",9,0,0,20
"198",28,7,0,11
"199",5,0,0,13
"200",12,0,0,14
"201",14,1,0,6
"202",10,0,0,8
"203",71,0,0,13
"204",9,2,0,3
"205",16,17,0,14
"206",0,14,0,9
"207",3,9,0,9
"208",1,7,0,4
"209",3,13,0,5
"210",1,4,0,6
"211",4,7,0,10
"212",13,15,0,6
"213",11,8,0,6
"214",189,6,0,22
"215",43,0,0,28
"216",65,1,0,28
"217",12,0,0,16
"218",3,0,0,5
"219",1,0,0,1
"220",2,0,0,10
"221",36,13,0,4
"222",4,7,0,10
"223",9,5,0,6
"224",8,4,0,10
"225",150,0,0,19
"226",72,0,0,17
"227",76,0,0,7
"228",304,0,0,12
"229",60,3,0,6
"230",2,4,0,1
"231",0,14,0,7
"232",8,5,0,9
"233",13,14,0,5
